タブとウィンドウ	tab-01	新しいウィンドウを開きます。	cmd,n	0
タブとウィンドウ	tab-02	新しいタブを開きます。	cmd,t	0
タブとウィンドウ	tab-03	新しいウィンドウをシークレット モードで開きます。	cmd,shift,n	0
タブとウィンドウ	tab-04	パソコン上のファイルを Google Chrome で開きます。	cmd,o	0
タブとウィンドウ	tab-05	現在のタブを開いたまま、バックグラウンドの新しいタブでリンクを開きます。	cmd,click	0
タブとウィンドウ	tab-06	新しいタブでリンクを開き、新しく開いたタブに切り替えます。	cmd,shift,click	0
タブとウィンドウ	tab-07	新しいウィンドウでリンクを開きます。	shift,click	0
タブとウィンドウ	tab-08	最近閉じたタブをもう一度開きます。最後に閉じた 10 個までのタブが記憶されています。	cmd,shift,t	0
タブとウィンドウ	tab-09	次のタブに切り替えます。	cmd,alt,curRight	0
タブとウィンドウ	tab-10	前のタブに切り替えます。	cmd,alt,curLeft	0
タブとウィンドウ	tab-11	現在のタブまたはポップアップを閉じます。	cmd,w	0
タブとウィンドウ	tab-12	現在のウィンドウを閉じます。	cmd,shift,w	0
タブとウィンドウ	tab-13	そのタブの閲覧履歴の前のページを表示します。	delete,or,cmd,bra1	0
タブとウィンドウ	tab-14	そのタブの閲覧履歴の次のページを表示します。	shift,delete,or,cmd,bra2	0
タブとウィンドウ	tab-15	ウインドウを最小化します。	cmd,m	0
タブとウィンドウ	tab-16	Google Chrome を非表示にします。	cmd,h	0
タブとウィンドウ	tab-17	他のウインドウをすべて非表示にします。	cmd,alt,h	0
タブとウィンドウ	tab-18	Google Chrome を終了します。	cmd,q	0
Google Chrome 機能	chrome-01	ブックマーク バーの表示/非表示を切り替えます。	cmd,shift,b	0
Google Chrome 機能	chrome-02	ブックマーク マネージャを開きます。	cmd,alt,b	0
Google Chrome 機能	chrome-03	[環境設定] ダイアログを開きます。	cmd,comma	0
Google Chrome 機能	chrome-04	履歴ページを開きます。	cmd,y	0
Google Chrome 機能	chrome-05	ダウンロード ページを開きます。	cmd,shift,j	0
Google Chrome 機能	chrome-06	[閲覧履歴データを消去する] ダイアログを開きます。	cmd,shift,delete	0
Google Chrome 機能	chrome-07	複数のユーザーを切り替えます。	cmd,shift,m	0
アドレスバー	address-01	URL をハイライト表示します。	cmd,l	0
アドレスバー	address-02	アドレスバーに「?」を入力します。「?」に続けて検索キーワードを入力すると、既定の検索エンジンを使用して検索が行われます。	cmd,alt,f	0
アドレスバー	address-03	アドレスバー内の前の単語にカーソルを移動します。	alt,curLeft	0
アドレスバー	address-04	アドレスバー内の次の単語にカーソルを移動します。	alt,curRight	0
アドレスバー	address-05	アドレスバー内の前の単語をハイライト表示します。	shift,alt,curLeft	0
アドレスバー	address-06	アドレスバー内の次の単語をハイライト表示します。	shift,alt,curRight	0
アドレスバー	address-07	アドレスバー内のカーソルの前にある単語を削除します。	cmd,delete	0
ウェブページ	page-01	現在のページを印刷します。	cmd,p	0
